Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
2000-03-16,239.5,247.8,230.1,234.85,235.5,10564295,309.93100000000004,,236.75,-1.9000000000000057,-0.00802534318901793,5711222.0,4853073.0,0.8497433649050938
2000-03-21,238.8,242.8,227.6,237.9,242.5,6838036,308.802,,234.85,3.0500000000000114,0.012987012987013102,10564295.0,-3726259.0,-0.352721975295086
2000-03-22,245.0,248.5,241.2,243.4,243.0,4931613,307.37899999999996,,237.9,5.5,0.023118957545187113,6838036.0,-1906423.0,-0.2787968650647642
2000-03-23,245.25,245.8,238.55,240.95,239.95,4286132,306.028,,243.4,-2.450000000000017,-0.010065735414954924,4931613.0,-645481.0,-0.13088638544833098
2000-03-24,239.2,242.95,237.65,240.6,242.9,2637850,305.07,,240.95,-0.3499999999999943,-0.0014525835235525975,4286132.0,-1648282.0,-0.38456165139104437
2000-03-27,243.0,259.85,243.0,259.85,259.85,4141666,304.233,,240.6,19.25000000000003,0.08000831255195351,2637850.0,1503816.0,0.5700915518319845
2000-03-28,263.1,280.65,263.1,280.65,280.65,7026761,303.60900000000004,,259.85,20.799999999999955,0.08004618048874335,4141666.0,2885095.0,0.6966025266161009
2000-03-29,284.8,289.9,269.0,271.3,271.25,10277833,302.709,,280.65,-9.349999999999966,-0.03331551754854789,7026761.0,3251072.0,0.4626700694672836
2000-03-30,269.0,293.0,258.3,293.0,293.0,17168324,302.394,,271.3,21.69999999999999,0.07998525617397712,10277833.0,6890491.0,0.670422549189114
2000-03-31,297.0,316.45,280.1,316.45,316.45,19704184,302.439,,293.0,23.44999999999999,0.08003412969283263,17168324.0,2535860.0,0.147705739942932
2000-04-03,327.65,333.7,318.1,328.6,328.0,21353020,302.61899999999997,,316.45,12.150000000000034,0.03839469110443994,19704184.0,1648836.0,0.08367948654965862
2000-04-04,326.0,326.0,302.35,302.35,302.35,13530488,302.409,,328.6,-26.25,-0.07988435788192327,21353020.0,-7822532.0,-0.3663431214882017
2000-04-05,303.4,312.0,278.25,302.25,301.0,25186375,301.927,,302.35,-0.10000000000002274,-0.00033074251695064394,13530488.0,11655887.0,0.8614535558510528
2000-04-06,303.0,326.45,302.55,326.15,326.45,16239068,301.92699999999996,,302.25,23.899999999999977,0.07907361455748552,25186375.0,-8947307.0,-0.3552439364537374
2000-04-07,329.8,352.25,329.8,352.25,352.25,11686144,302.573,,326.15,26.100000000000023,0.08002452859113918,16239068.0,-4552924.0,-0.2803685531706622
2000-04-10,369.9,380.0,359.5,364.55,363.45,22110719,303.165,,352.25,12.300000000000011,0.034918381831085865,11686144.0,10424575.0,0.8920457423766128
2000-04-11,358.0,359.0,346.5,353.75,358.0,9759550,303.473,,364.55,-10.800000000000011,-0.02962556576601294,22110719.0,-12351169.0,-0.5586054890390493
2000-04-12,357.0,360.0,334.4,337.95,335.4,17263869,303.669,,353.75,-15.800000000000011,-0.044664310954063646,9759550.0,7504319.0,0.768920595724188
2000-04-13,331.1,331.1,310.95,310.95,310.95,225213,303.207,,337.95,-27.0,-0.07989347536617841,17263869.0,-17038656.0,-0.9869546623645025
2000-04-17,286.1,300.8,286.1,298.4,297.0,15931668,302.372,,310.95,-12.550000000000011,-0.04036018652516482,225213.0,15706455.0,69.74044571139322
2000-04-18,297.1,308.9,294.0,300.05,299.0,8775778,301.54,,298.4,1.650000000000034,0.0055294906166221125,15931668.0,-7155890.0,-0.44916138096776814
2000-04-19,307.7,324.05,303.1,314.85,316.0,16293725,300.95399999999995,,300.05,14.800000000000011,0.049325112481253264,8775778.0,7517947.0,0.8566701436613369
2000-04-20,313.0,340.05,309.25,337.75,340.05,19387991,300.837,,314.85,22.899999999999977,0.07273304748292819,16293725.0,3094266.0,0.18990537768374027
2000-04-24,346.0,360.6,323.0,336.95,323.6,17618258,300.728,,337.75,-0.8000000000000114,-0.002368615840118493,19387991.0,-1769733.0,-0.09127985462753718
2000-04-25,322.3,339.5,311.65,332.05,333.0,15809540,300.361,,336.95,-4.899999999999977,-0.014542216946134334,17618258.0,-1808718.0,-0.10266156847061725
2000-04-26,340.0,358.65,340.0,357.95,358.65,16998445,300.405,,332.05,25.899999999999977,0.07800030115946388,15809540.0,1188905.0,0.07520174527532109
2000-04-27,360.8,366.0,338.3,345.65,343.5,29547592,300.052,,357.95,-12.300000000000011,-0.03436234110909353,16998445.0,12549147.0,0.7382526460508594
2000-04-28,347.5,351.9,340.3,345.05,344.4,13426369,299.911,,345.65,-0.5999999999999659,-0.0017358599739619729,29547592.0,-16121223.0,-0.5456019224849186
2000-05-02,348.0,354.65,325.25,329.15,329.3,16424665,299.607,,345.05,-15.900000000000034,-0.04608027822054783,13426369.0,2998296.0,0.22331398757177023
2000-05-03,327.0,333.85,309.2,328.0,331.0,13760253,299.204,,329.15,-1.1499999999999773,-0.003493847789761473,16424665.0,-2664412.0,-0.16222017313595127
2000-05-04,331.0,342.95,331.0,337.2,336.25,11327281,298.85699999999997,,328.0,9.199999999999989,0.028048780487804903,13760253.0,-2432972.0,-0.1768115746127633
2000-05-05,338.5,341.55,328.1,335.35,335.0,11144621,298.575,,337.2,-1.849999999999966,-0.005486358244365275,11327281.0,-182660.0,-0.016125670405810588
2000-05-08,331.0,337.0,322.3,324.0,324.25,5891336,298.142,,335.35,-11.350000000000023,-0.033845236320262484,11144621.0,-5253285.0,-0.47137403775328024
2000-05-09,321.5,331.85,318.4,328.35,330.25,6136642,298.022,,324.0,4.350000000000023,0.013425925925925952,5891336.0,245306.0,0.04163843311601978
2000-05-10,330.0,334.9,323.3,325.25,324.1,6652614,297.931,,328.35,-3.1000000000000227,-0.009441145119537198,6136642.0,515972.0,0.08408051178478382
2000-05-11,324.05,324.05,314.0,316.75,318.5,6428965,297.531,,325.25,-8.5,-0.02613374327440432,6652614.0,-223649.0,-0.033618213832938504
2000-05-12,319.6,322.5,313.3,315.9,317.6,4135346,297.277,,316.75,-0.8500000000000227,-0.0026835043409629833,6428965.0,-2293619.0,-0.3567633359335445
2000-05-15,312.05,324.7,306.5,319.5,318.6,5797353,297.005,,315.9,3.6000000000000227,0.01139601139601143,4135346.0,1662007.0,0.4019027670236057
2000-05-16,320.0,321.9,315.0,317.4,318.5,3133472,297.13599999999997,,319.5,-2.1000000000000227,-0.0065727699530516714,5797353.0,-2663881.0,-0.4594995336664853
2000-05-17,320.9,328.4,316.25,318.85,319.0,7802567,297.177,,317.4,1.4500000000000455,0.004568367989918221,3133472.0,4669095.0,1.4900707585706847
2000-05-18,318.0,319.75,307.1,310.1,309.25,5382755,297.54400000000004,,318.85,-8.75,-0.027442371020856227,7802567.0,-2419812.0,-0.3101302430341194
2000-05-19,308.0,319.05,307.25,315.6,315.0,7967132,298.487,,310.1,5.5,0.017736214124475902,5382755.0,2584377.0,0.4801216105878867
2000-05-22,313.0,316.9,309.0,312.45,313.5,3117749,299.657,,315.6,-3.150000000000034,-0.009980988593155993,7967132.0,-4849383.0,-0.6086736105288578
2000-05-23,312.3,316.0,308.5,314.75,315.1,4169391,301.106,,312.45,2.3000000000000114,0.007361177788446138,3117749.0,1051642.0,0.33730810273694267
2000-05-24,313.65,317.9,310.0,312.75,313.15,4041968,302.702,,314.75,-2.0,-0.006354249404289081,4169391.0,-127423.0,-0.030561537644226644
2000-05-25,312.3,317.8,311.1,312.8,313.5,2617268,304.332,,312.75,0.05000000000001137,0.0001598721023181593,4041968.0,-1424700.0,-0.3524768132751175
2000-05-26,314.8,318.0,311.0,316.45,317.65,3504803,306.32399999999996,,312.8,3.6499999999999773,0.011668797953964027,2617268.0,887535.0,0.33910742040937336
2000-05-29,318.5,347.45,318.0,339.45,337.7,11805354,309.04900000000004,,316.45,23.0,0.07268130826354868,3504803.0,8300551.0,2.3683359663866983
